"aeroport","centralite"
"OOL-Coolangatta",169
"LYG-Lianyungang",169
"AWZ-Ahwaz",169
"YTY-Yangzhou",169
"HMO-Hermosillo",169
"BIQ-Biarritz-bayonne",169
"RUN-St.-denis",169
"YYT-St. John's",156
"ELP-El Paso",156
"PTP-Pointe-a-pitre",156
"OTZ-Kotzebue",156
"POP-Puerto Plata",154
"HRE-Harare",154
"BUR-Burbank",144
"HIA-Hahn",144
"DYG-Dayong",144
"GAU-Guwahati",144
"BRN-Bern",144
"SZB-Kuala Lumpur",144
"MMX-Malmoe",144
"WDH-Windhoek",144
"LGB-Long Beach",144
"ZTH-Zakynthos",144
"TNG-Tanger",144
"KOJ-Kagoshima",144
"PAP-Port-au-prince",144
"JHB-Johor Bahru",144
"FLN-Florianopolis",144
"DOK-Donetsk",144
"RAO-Ribeirao Preto",144
"NDR-El Aroui",144
"YNZ-Yancheng",144
"BIL-Billings",144
"FDH-Friedrichshafen",144
"JIB-Djibouti",144
"MDT-Harrisburg",144
"ODS-Odessa",144
"MVD-Montevideo",144
"SGC-Surgut",144
"TGD-Podgorica",144
"BEN-Benghazi",144
"TSR-Timisoara",144
"BND-Bandar Abbas",144
"SID-Amilcar Cabral",135
"KTN-Ketchikan",132
"PLU-Belo Horizonte",132
"SUV-Nausori",132
"VVI-Santa Cruz",132
"ICT-Wichita",132
"BZV-Brazzaville",132
"PNQ-Pune",132
"NGS-Nagasaki",121
"LZO-Luzhou",121
"CIH-Changzhi",121
"MSN-Madison",121
"FNA-Freetown",121
"CID-Cedar Rapids",121
"KOI-Kirkwall",121
"CAK-Akron",121
"PNS-Pensacola",121
"MDC-Manado",121
"LIH-Lihue",121
"UVF-Hewandorra",121
"GYN-Goiania",121
"CZL-Constantine",121
"BOJ-Bourgas",121
"YYR-Goose Bay",121
"FMO-Munster",121
"TGU-Tegucigalpa",121
"UUS-Yuzhno-sakhalinsk",121
"COR-Cordoba",121
"ASB-Ashkhabad",121
"YLW-Kelowna",121
"GRZ-Graz",121
"FAT-Fresno",121
"GOI-Goa",121
"BES-Brest",121
"RZE-Rzeszow",121
"COS-Colorado Springs",121
"TRS-Ronchi De Legionari",121
"KOA-Kona",121
"CLY-Calvi",121
"FDF-Fort-de-france",110
"AHB-Abha",110
"INV-Inverness",110
"WIL-Nairobi",110
"YRT-Rankin Inlet",110
"NSK-Norilsk",110
"CGR-Campo Grande",100
"GEG-Spokane",100
"CIF-Chifeng",100
"FAR-Fargo",100
"VOG-Volgograd",100
"USM-Ko Samui",100
"TLC-Toluca",100
"LOP-Praya",100
"HAU-Haugesund",100
"UUD-Ulan-ude",100
"MLI-Moline",100
"YZV-Sept-iles",100
"KIJ-Niigata",100
"TBZ-Tabriz",100
"ASU-Asuncion",100
"ISP-Islip",100
"MIR-Monastir",100
"AES-Alesund",100
"BJX-Del Bajio",100
"TMP-Tampere",100
"NZH-Bagan",100
"NUX-Novy Urengoy",100
"YFB-Iqaluit",100
"TSV-Townsville",100
"IOM-Isle Of Man",100
"KOW-Ganzhou",100
"AOI-Ancona",100
"KGD-Kaliningrad",100
"CCF-Carcassonne",100
"CUU-Chihuahua",100
"CAE-Columbia",100
"BTV-Burlington",100
"PIA-Peoria",100
"SON-Santo",100
"CGP-Chittagong",100
"FWA-Fort Wayne",100
"OVD-Aviles",100
"FPO-Freeport",100
"ADA-Adana",100
"LIG-Limoges",100
"JRO-Kilimanjaro",99
"YQT-Thunder Bay",99
"NTG-Nantes",90
"SPN-Saipan",90
"RTB-Roatan",90
"JTR-Thira",90
"JMK-Mykonos",90
"MST-Maastricht",90
"ELQ-Gassim",90
"YVP-Quujjuaq",90
"NAT-Natal",90
"YWK-Wabush",90
"NSI-Yaounde",84
"RBA-Rabat",81
"RAR-Avarua",81
"BLK-Blackpool",81
